Date,High,Low,Open,Close,Volume,Adj Close,NewsData,TweetScore
2018-12-24,140.99000549316406,137.44000244140622,140.82000732421875,137.44000244140622,729500.0,137.08416748046878,0.0,0.0
2018-12-26,140.5,135.30000305175778,138.41000366210938,140.28999328613278,1081700.0,139.92678833007812,0.0,0.0
2018-12-27,143.13999938964844,138.02999877929688,138.61000061035156,143.1300048828125,1444900.0,142.7594451904297,0.0,0.0
2018-12-28,145.17999267578125,142.47999572753906,143.85000610351562,143.6999969482422,841800.0,143.3279571533203,0.0,0.0
2018-12-31,145.64999389648438,143.67999267578125,144.24000549316406,145.36000061035156,741700.0,144.98365783691406,0.0,0.0
2019-01-02,144.55999755859375,142.75,143.5800018310547,144.0399932861328,961600.0,143.6670684814453,0.0,0.0
2019-01-03,144.07000732421875,141.6300048828125,143.30999755859375,141.8800048828125,1027400.0,141.51268005371094,0.0,0.0
2019-01-04,144.75999450683594,141.8000030517578,143.13999938964844,144.5500030517578,1882800.0,144.17576599121094,0.0,0.0
2019-01-07,146.1300048828125,143.49000549316406,143.88999938964844,144.22999572753906,926500.0,143.85658264160156,0.0,0.0
2019-01-08,145.05999755859375,141.8800048828125,144.2100067138672,144.9199981689453,1277200.0,144.5447998046875,0.0,0.0
2019-01-09,147.5399932861328,144.7899932861328,145.52999877929688,145.1300048828125,1428300.0,144.7542724609375,0.0,0.0
2019-01-10,147.9199981689453,144.39999389648438,145.08999633789062,147.6300048828125,931700.0,147.24778747558594,0.0,0.0
2019-01-11,147.2899932861328,145.14999389648438,146.57000732421875,147.25,963200.0,146.8687744140625,0.0,0.0
2019-01-14,147.88999938964844,146.3300018310547,146.3300018310547,147.61000061035156,808700.0,147.22784423828125,0.0,0.0
2019-01-15,149.7100067138672,147.1999969482422,147.6300048828125,149.67999267578125,832700.0,149.29248046875,0.0,0.0
2019-01-16,151.47999572753906,148.75,149.8300018310547,150.99000549316406,923000.0,150.59909057617188,0.0,0.0
2019-01-17,152.88999938964844,150.36000061035156,150.36000061035156,152.5,800100.0,152.1051788330078,0.0,0.0
2019-01-18,154.6999969482422,152.6699981689453,153.05999755859375,154.41000366210938,839800.0,154.01023864746094,0.0,0.0
2019-01-22,155.25999450683594,152.67999267578125,154.07000732421875,153.6999969482422,759100.0,153.30206298828125,0.0,0.0
2019-01-23,154.75,152.49000549316406,154.0,154.05999755859375,724200.0,153.6611328125,0.0,0.0
2019-01-24,154.60000610351562,152.99000549316406,153.85000610351562,153.91000366210938,998300.0,153.51153564453125,0.0,0.0
2019-01-25,155.72999572753906,153.7100067138672,154.6199951171875,154.38999938964844,706300.0,153.9902801513672,0.0,0.0
2019-01-28,153.94000244140625,152.1699981689453,153.4600067138672,153.6699981689453,836000.0,153.27215576171875,0.0,0.0
2019-01-29,153.7100067138672,151.64999389648438,153.27000427246094,152.39999389648438,978500.0,152.00543212890625,0.0,0.0
2019-01-30,154.75,152.4499969482422,152.66000366210938,154.5,2153700.0,154.10000610351562,0.0,0.0
2019-01-31,157.8800048828125,153.1699981689453,153.75999450683594,156.22999572753906,1879100.0,156.22999572753906,0.0,0.0
2019-02-01,168.49000549316406,157.5399932861328,157.80999755859375,167.4600067138672,3265100.0,167.4600067138672,0.0,0.0
2019-02-04,168.5,165.16000366210938,168.5,166.8000030517578,1771300.0,166.8000030517578,0.0,0.0
2019-02-05,168.97999572753906,166.3699951171875,167.32000732421875,168.75,1114500.0,168.75,0.0,0.0
2019-02-06,168.75,166.6699981689453,168.25999450683594,168.35000610351562,1175500.0,168.35000610351562,0.0,0.0
2019-02-07,167.6300048828125,164.69000244140625,167.27000427246094,166.8800048828125,1060400.0,166.8800048828125,0.0,0.0
2019-02-08,168.1699981689453,166.38999938964844,166.47999572753906,168.1699981689453,847900.0,168.1699981689453,0.0,0.0
2019-02-11,170.82000732421875,168.25999450683594,168.72999572753906,170.75999450683594,1103000.0,170.75999450683594,0.0,0.0
2019-02-12,172.17999267578125,170.4199981689453,171.61000061035156,171.27999877929688,1101000.0,171.27999877929688,0.0,0.0
2019-02-13,173.08999633789062,171.24000549316406,171.5800018310547,172.9600067138672,1073100.0,172.9600067138672,0.0,0.0
2019-02-14,172.1300048828125,169.5800018310547,171.60000610351562,169.6199951171875,961100.0,169.6199951171875,0.0,0.0
2019-02-15,172.10000610351562,170.2899932861328,171.4499969482422,171.97000122070312,1257900.0,171.97000122070312,0.0,0.0
2019-02-19,173.52999877929688,170.88999938964844,171.30999755859375,172.66000366210938,1080500.0,172.66000366210938,0.0,0.0
2019-02-20,173.32000732421875,171.66000366210938,172.74000549316406,172.8000030517578,1005000.0,172.8000030517578,0.0,0.0
2019-02-21,173.33999633789062,171.9499969482422,172.92999267578125,172.39999389648438,929200.0,172.39999389648438,0.0,0.0
2019-02-22,172.66000366210938,171.3800048828125,172.4600067138672,172.05999755859375,998100.0,172.05999755859375,0.0,0.0
2019-02-25,173.22000122070312,170.99000549316406,172.27999877929688,171.1699981689453,982500.0,171.1699981689453,0.0,0.0
2019-02-26,172.10000610351562,170.6300048828125,170.9499969482422,171.35000610351562,993400.0,171.35000610351562,0.0,0.0
2019-02-27,171.44000244140625,170.1699981689453,170.67999267578125,171.19000244140625,662000.0,171.19000244140625,0.0,0.0
2019-02-28,172.3000030517578,170.66000366210938,171.10000610351562,171.52999877929688,1205600.0,171.52999877929688,0.0,0.0
2019-03-01,172.91000366210938,170.8800048828125,172.75,171.64999389648438,899800.0,171.64999389648438,0.0,0.0
2019-03-04,172.35000610351562,169.75,171.99000549316406,170.6300048828125,1663400.0,170.6300048828125,0.0,0.0
2019-03-05,172.69000244140625,156.08999633789062,171.32000732421875,157.25,6699600.0,157.25,0.0,-0.05
2019-03-06,166.55999755859375,163.30999755859375,166.52000427246094,164.0,2534200.0,164.0,0.0,0.0
2019-03-07,163.99000549316406,161.75,163.39999389648438,162.5500030517578,1644300.0,162.5500030517578,0.0,0.0
2019-03-08,162.1699981689453,160.2899932861328,161.58999633789062,162.0399932861328,934700.0,162.0399932861328,-0.037500000000000006,-0.13181818181818183
2019-03-11,164.74000549316406,162.66000366210938,162.7899932861328,164.7100067138672,1064300.0,164.7100067138672,-0.06721180054513387,0.0
2019-03-12,167.00999450683594,164.44000244140625,164.8699951171875,166.47999572753906,959500.0,166.47999572753906,-0.029166666666666664,0.0
2019-03-13,168.4499969482422,166.66000366210938,166.75,167.08999633789062,816700.0,167.08999633789062,0.06666666666666668,0.0
